Package,Version,License(s)
jakarta-activation,"1.1.1, 2.0.0, 1.1","(Sun GPL With Classpath Exception v2.0 OR Common Development and Distribution License 1.0),BSD 3-clause ""New"" or ""Revised"" License,Common Development and Distribution License 1.1,Common Development and Distribution License 1.0"
domutils,"2.7.0, 2.8.0","BSD 2-clause ""Simplified"" License"
data-mapper-for-jackson,"1.9.11, 1.9.13",Apache License 2.0
utils-merge,1.0.1,MIT License
aws-java-sdk-for-amazon-elasticache,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
@babel-helper-builder-binary-assignment-operator-visitor,"7.14.5, 7.18.9, 7.16.0, 7.15.4",MIT License
postcss-normalize-display-values,5.0.1,MIT License
aws-java-sdk-for-amazon-route-53-resolver,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-amazon-sqs,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
bytes-js,"3.0.0, 3.1.2, 3.1.0","Expat License,MIT License"
hadoop-mapreduce-client-common,2.7.3,Apache License 2.0
@jest-transform,"28.1.3, 26.6.2",MIT License
joda-convert,1.6,Apache License 2.0
apache-santuario-(java),2.1.7,Apache License 2.0
modern-go-reflect2,v1.0.2,Apache License 2.0
aws-java-sdk-for-amazon-qldb-session,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
is-typedarray,1.0.0,MIT License
postcss-font-variant,4.0.1,MIT License
json5,"2.2.3, 1.0.1, v2.2.0",MIT License
@ngrx-store,"12.0.0, 14.2.0",MIT License
aws-java-sdk-for-finspace-user-environment-management,"1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-amazon-opensearch,"1.12.261, 1.12.124",Apache License 2.0
hive-serde,1.2.2,Apache License 2.0
kafka-connect-elastic,1.2.0,Apache License 2.0
@npmcli-git,"2.1.0, 3.0.2",ISC License
@angular-core,"12.2.4, 12.2.16, 12.2.13, 14.3.0, 12.1.5",MIT License
@babel-template,"7.20.7, 7.15.4, 7.16.0, 7.14.5, 7.18.10, 7.12.13",MIT License
io-grpc-grpc-protobuf-lite,"1.48.1, 1.51.0, 1.45.1, 1.13.1, 1.51.1",Apache License 2.0
ccount,1.1.0,MIT License
angular,"6.0.0-rc.6, 8.0.0-rc.0, 7.0.0-rc.1",MIT License
@types-range-parser,1.2.4,MIT License
@babel-core,"7.18.10, 7.14.6, 7.16.0, 7.15.0, 7.15.5, 7.12.9, 7.4.5, 7.21.4, 7.20.12, 7.14.3",MIT License
metrics-core,"4.1.12.1, 3.0.2, 3.2.2",Apache License 2.0
parser,"1.0.0, 0.13.0","MIT License,Apache License 2.0"
@jest-console,28.1.3,MIT License
merge-source-map,1.1.0,MIT License
npmlog,4.1.2,ISC License
apache-avro,"1.11.1, 1.11.0, 1.8.2, 1.9.2",Apache License 2.0
xml-commons-external-components-xml-apis-extensions,1.3.04,Apache License 2.0
@storybook-addon-toolbars,6.5.10,MIT License
aws-java-sdk-for-aws-comprehend-medical,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
lz4-and-xxhash,"1.7.1, 1.8.0",Apache License 2.0
@csstools-postcss-unset-value,1.0.2,Creative Commons Zero v1.0 Universal
@babel-helper-validator-option,"7.21.0, 7.14.5, 7.18.6",MIT License
@emotion-hash,0.8.0,MIT License
aws-java-sdk-for-aws-greengrass,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
@ampproject-remapping,"2.2.0, 2.2.1",Apache License 2.0
jnr-ffi,"2.1.9, 2.1.7",Apache License 2.0
@babel-parser,"7.15.5, 7.15.0, 7.21.4, 7.16.3, 7.18.11",MIT License
css-loader,"5.2.6, 5.2.4",MIT License
css-minimizer-webpack-plugin,"3.0.1, 3.0.0",MIT License
bouncy-castle-asn-1-extension-and-utility-apis,1.72,MIT License
