Package,Version,License(s)
python-distlib,"0.3.8, 0.2.6","Apache License 2.0,Python Software Foundation License 2.0"
aws-java-sdk-for-aws-app-mesh,"1.11.892, 1.12.770, 1.12.124, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-route53,"1.12.124, 1.12.793, 1.11.892, 1.12.770",Apache License 2.0
openconfig-ygot,v0.29.19,Apache License 2.0
yaml-for-go,"v3.0.1, v2.4.0","(MIT License AND Apache License 2.0),Apache License 2.0"
aws-java-sdk-for-amazonapigatewaymanagementapi,"1.12.124, 1.11.892, 1.12.770, 1.12.793",Apache License 2.0
aws-sdk-for-java,"1.12.454, 2.17.30, 1.11.892, 1.12.277, 1.12.793, 2.28.2, 1.12.124, 1.12.770, 1.12.268, 1.12.261",Apache License 2.0
aws-java-sdk-for-amazonnimblestudio,"1.12.793, 1.12.770, 1.12.124",Apache License 2.0
apache-commons-lang,"3.12.0, 3.14.0, 3.8.1, 3.20.0, 3.2.1, 2.6, 3.17.0",Apache License 2.0
sigs-k8s-io-json,20221116-snapshot-bc3834ca,"(Apache License 2.0 AND BSD 3-clause ""New"" or ""Revised"" License)"
scala,"2.12.6, 2.12.8, 2.10.6, 2.12.11, 2.12.20, 2.11.12, 2.12.15, 2.12.19, v2.12.14, v2.12.12, 2.12.13, 2.11.11, v2.12.10, 2.12.17","BSD 3-clause ""New"" or ""Revised"" License,Apache License 2.0,BSD 3-clause Clear License"
aws-java-sdk-for-aws-service-catalog,"1.12.793, 1.11.892, 1.12.770, 1.12.124",Apache License 2.0
curator-recipes,5.2.0,Apache License 2.0
aws-java-sdk-for-amazon-chime,"1.12.124, 1.11.892, 1.12.793, 1.12.770",Apache License 2.0
fsnotify-fsnotify,"v1.7.0, 1.8.0","BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-amazon-cloudwatch-events,"1.11.892, 1.12.770, 1.12.793, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-single-sign-on,"1.12.770, 1.12.793, 1.11.892, 1.12.124",Apache License 2.0
spf13-cobra,"1.9.1, 1.8.1",Apache License 2.0
parser,"1.0.0, 0.13.0","MIT License,Apache License 2.0"
aws-aws-sdk-go-v2,"v1.31.0, internal/configsources/v1.3.18, service/sso/v1.23.0, internal/ini/v1.8.1, service/internal/presigned-url/v1.11.20, service/ssooidc/v1.27.0, internal/endpoints/v2.6.18, credentials/v1.17.34, config/v1.27.36, service/internal/accept-encoding/v1.11.5, service/sts/v1.31.0, feature/ec2/imds/v1.16.14",Apache License 2.0
aws-java-sdk-for-aws-secrets-manager,"1.12.124, 1.11.892, 1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-alexa-for-business,"1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-iot-twinmaker,"1.12.124, 1.12.793, 1.12.770",Apache License 2.0
fabric8-kubernetes-model-api-extensions,6.13.1,Apache License 2.0
aws-java-sdk-for-amazon-route-53-resolver,"1.12.124, 1.12.770, 1.11.892, 1.12.793",Apache License 2.0
aws-java-sdk-for-amplifybackend,"1.12.124, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-shield,"1.12.124, 1.12.793, 1.12.770, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-direct-connect,"1.12.770, 1.11.892, 1.12.793, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-chime-sdk-voice,"1.12.770, 1.12.793",Apache License 2.0
scala-logging,"3.9.2, 3.9.4",Apache License 2.0
fabric8-kubernetes-model-metrics,6.13.1,Apache License 2.0
aws-java-sdk-for-aws-migration-hub,"1.12.793, 1.12.770, 1.11.892, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-eventbridge,"1.11.892, 1.12.770, 1.12.124, 1.12.793",Apache License 2.0
go-spew,"v1.1.1, 20180930-snapshot-d8f796af",ISC License
rocksdb-jni,"7.1.2, 5.18.4",Apache License 2.0
pip,"24.0, 9.0.1, 23.0.1",MIT License
aws-java-sdk-for-aws-snow-device-management,"1.12.770, 1.12.793, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-polly,"1.11.892, 1.12.793, 1.12.770, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-recycle-bin,"1.12.770, 1.12.793, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-data-exchange,"1.12.770, 1.11.892, 1.12.793, 1.12.124",Apache License 2.0
json-java,"20180130, 20240303, 20231013, 20231013.0.0.redhat-00001","JSON License,Public Domain"
klauspost-cpuid,v2.2.7,MIT License
aws-java-sdk-for-amazon-codeguru-reviewer,"1.12.793, 1.12.124, 1.12.770, 1.11.892",Apache License 2.0
sourcegraph-conc,v0.3.0,MIT License
aws-java-sdk-for-aws-systems-manager-incident-manager,"1.12.124, 1.12.770, 1.12.793",Apache License 2.0
pekko-http-spray-json,1.0.0,Apache License 2.0
aws-java-sdk-for-aws-step-functions,"1.12.124, 1.12.770, 1.11.892, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-resource-groups,"1.12.793, 1.11.892, 1.12.770, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-cloud9,"1.12.770, 1.11.892, 1.12.793, 1.12.124",Apache License 2.0
fabric8-kubernetes-model-extensions,6.13.1,Apache License 2.0
aws-java-sdk-for-amazon-sagemaker-edge-manager,"1.12.770, 1.12.124, 1.12.793",Apache License 2.0
