Package,Version,License(s)
pmezard-go-difflib,"20160220-snapshot-d8ed2627, 1.0.0","BSD 3-clause ""New"" or ""Revised"" License"
d3-zoom,1.8.3,"BSD 3-clause ""New"" or ""Revised"" License"
rest-assured-common,3.2.0,Apache License 2.0
@chromaui-localtunnel,2.0.4,MIT License
loader-runner,"4.2.0, 2.3.1",MIT License
jsonify,0.0.0,Public Domain
@yarnpkg-lockfile,1.1.0,"BSD 2-clause ""Simplified"" License"
AWS Java SDK for the Amazon EC2 Container Service,1.11.892,Apache License 2.0
@types-node,"12.20.37, 16.4.12, 12.20.23, 12.20.19, 14.17.33, 16.7.10, 16.11.7",MIT License
google-gson,"2.8.7, 2.7",Apache License 2.0
css-selector-tokenizer,"0.7.1, 0.7.3",MIT License
css-declaration-sorter,"6.1.3, 6.1.1, 4.0.1","ISC License,MIT License"
@babel-plugin-transform-destructuring,"7.0.0, 7.1.3, 7.16.0, 7.14.7",MIT License
are-we-there-yet,"1.1.5, 1.1.7",ISC License
AWS Java SDK for AWS GameLift,1.11.892,Apache License 2.0
minizlib,"v2.1.2, 1.1.1",MIT License
at-least-node,1.0.0,ISC License
tslint,6.1.3,Apache License 2.0
Checker Qual,"2.0.0, 2.5.5, 3.5.0",MIT License
