Package, Version, License(s)
libkrb5-3, 1.12.1+dfsg-19+deb8u5, BSD;GPL;GPL-2;MIT
libkrb5support0, 1.12.1+dfsg-19+deb8u5, BSD;GPL;GPL-2;MIT
libldap-2.4-2, 2.4.40+dfsg-1+deb8u5, ISC;MIT
liblocale-gettext-perl, 1.05-8+b1, Artistic;GPL;GPL-1;GPL-1+
liblogging-stdlog0, 1.0.4-1, BSD;BSD-2-Clause
liblognorm1, 1.0.1-3, LGPL-2
libluajit-5.1-2, 2.0.3+dfsg-3, MIT;MIT/X;PD;public domain
libluajit-5.1-common, 2.0.3+dfsg-3, MIT;MIT/X;PD;public domain
liblvm2cmd2.02, 2.02.111-2.2+deb8u1, GPL;GPL-2;LGPL-2
liblwres90, 1:9.9.5.dfsg-9+deb8u18, ISC
liblzma5, 5.1.1alpha+20120614-2+b3, Autoconf;config-h;GPL;GPL-2;GPL-2+;GPL-3;LGPL-2;LGPL-2.1+;noderivs;none;PD;PD-debian;permissive-fsf;permissive-nowarranty;probably-PD;public domain
liblzo2-2, 2.08-1.2, GPL;GPL-2
libmagic1, 1:5.22+15-2+deb8u7, BSD;BSD-2-Clause-alike;BSD-2-Clause-netbsd;BSD-2-Clause-regents;MIT;MIT-Old-Style-with-legal-disclaimer-2;public domain;public-domain
libmnl0, 1.0.3-5-cl3u2, GPL;GPL-2;GPL-2+
libmount1, 2.25.2-6, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
libmpdec2, 2.4.1-1, BSD;GPL;GPL-2;GPL-2+
libmxml1, 2.6-2+deb8u1, LGPL-2
libmysqlclient18, 5.5.62-0+deb8u1, Artistic;BSD;BSD (2 clause);BSD (3 clause);BSD (4 clause);BSD-like;GPL;GPL-2;GPL-2+;ISC;LGPL;LGPL-2;public domain;public-domain;Python;SWsoft;zlib;zlib/libpng
libncurses5, 5.9+20140913-1+deb8u3, MIT
libncursesw5, 5.9+20140913-1+deb8u3, MIT
libnet1, 1.1.6+dfsg-3, BSD;BSD-2;BSD-3;BSD-4;other
libnetfilter-conntrack3, 1.0.4-1, GPL
libnettle4, 2.7.1-5+deb8u2, GAP;GPL;GPL-2;GPL-2+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;other;public domain;public-domain
libnfnetlink0, 1.0.1-3, GPL
libnftnl4, 1.0.5-1-cl3u2, GPL;GPL-2;GPL-2+
libnl-3-200, 3.2.27-cl3u15, GPL;GPL-2;LGPL-2
libnl-cli-3-200, 3.2.27-cl3u15, GPL;GPL-2;LGPL-2
libnl-genl-3-200, 3.2.27-cl3u15, GPL;GPL-2;LGPL-2
libnl-idiag-3-200, 3.2.27-cl3u15, GPL;GPL-2;LGPL-2
libnl-nf-3-200, 3.2.27-cl3u15, GPL;GPL-2;LGPL-2
libnl-route-3-200, 3.2.27-cl3u15, GPL;GPL-2;LGPL-2
libnl-utils, 3.2.27-cl3u15, GPL;GPL-2;LGPL-2
libnuma1, 2.0.10-1, GPL;LGPL
libopts25, 1:5.18.4-3, BSD;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;GPL-3+.;LGPL-2;LGPL-2.1+;LGPL-3+;Modified_BSD
libp11-kit0, 0.20.7-1, BSD;ISC
libpam-modules, 1.1.8-3.1+deb8u2+b1, BSD;GPL
libpam-modules-bin, 1.1.8-3.1+deb8u2+b1, BSD;GPL
libpam-runtime, 1.1.8-3.1+deb8u2, BSD;GPL
libpam-script, 1.1.7-1, GPL;GPL-2;GPL-3;GPL-3.0+
libpam0g, 1.1.8-3.1+deb8u2+b1, BSD;GPL
libparted2, 3.2-7, GPL;GPL-3
libpcap0.8, 1.8.1-3~bpo8+1, BSD
libpci3, 1:3.2.1-3, GPL
libpcre3, 2:8.35-3.3+deb8u4, BSD
libperl4-corelibs-perl, 0.003-1, Artistic;GPL;GPL-1;GPL-1+
libperl5.20, 5.20.2-3+deb8u12, Artistic;Artistic-2;BSD;BSD-3-clause;BSD-3-clause-GENERIC;BSD-4-clause;BSD-4-clause-POWERDOG;BZIP;DONT-CHANGE-THE-GPL;Expat;GPL;GPL-1;GPL-1+;GPL-2+;GPL-3+-WITH-BISON-EXCEPTION;HSIEH-BSD;HSIEH-DERIVATIVE;LGPL-2;LGPL-2.1;MIT;public domain;REGCOMP;S2P;SDBM-PUBLIC-DOMAIN;TEXT-TABS;Unicode;zlib;ZLIB
libpipeline1, 1.4.0-1, GPL;GPL-2;GPL-2+;GPL-3;GPL-3+
libpng12-0, 1.2.50-2+deb8u3, GPL;GPL-2
libpopt0, 1.16-10, GPL;GPL-2;GPL-2+;MIT;X-Consortium
libprocps3, 2:3.3.9-9+deb8u1, GPL;GPL-2;LGPL-2
libprotobuf9, 2.6.1-1, Apache-2;BSD;GPL;GPL-3
libpsl0, 0.5.1-1, CC0;MIT;MPL-2.0
libpython-stdlib, 2.7.9-1, BEOPEN;CNRI;GPL;Python
libpython2.7-minimal, 2.7.9-2+deb8u5, Apache-2;BEOPEN;BSD;CNRI;GPL;GPL-2;OpenSSL;Python;SSLeay;zlib
